SK_ID_CURR,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
100003,-1400.75,0.0,1216.0,-1097.3333333333333,0.0,0.0,254350.125,0.0,810000.0,0.0,-43.0,
100041,-1292.5384615384614,0.0,117.0,-1066.0,5830.965,0.0,63254.24307692308,0.0,0.0,0.0,-34.0,
100088,-1408.2,0.0,1222.0,-871.3333333333334,,0.0,355500.0,403969.5,0.0,0.0,-28.0,
100120,-515.0,55.0,486.0,,,0.0,184455.0,108837.0,0.0,166.5,-72.0,
100140,,,,,,0.0,,0.0,,0.0,,
100179,-1325.0,0.0,-216.0,-773.0,45862.83,0.0,675641.25,0.0,0.0,0.0,-212.0,0.0
100190,-1215.8,0.0,1006.0,-1295.0,23940.0,0.0,78867.0,-77.75999999999999,135020.97,0.0,-467.0,
100289,-1295.75,0.0,337.0,-882.0,0.0,0.0,190196.5275,0.0,0.0,0.0,-17.0,0.0
100308,-704.6,0.0,503.0,-598.0,0.0,0.0,159704.98200000002,96745.5,392056.245,0.0,-19.0,16826.01
100310,-450.6666666666667,0.0,1503.0,-367.0,0.0,0.0,620125.245,1622412.0,0.0,0.0,-13.0,
100344,-1449.0,0.0,93.0,-1762.0,5355.0,0.0,67781.61,25267.5,0.0,0.0,-26.0,
100390,-652.5,0.0,-586.0,-586.0,0.0,0.0,613125.0,554125.5,0.0,0.0,-26.0,
100407,-1091.4166666666667,0.0,1755.0,-1278.6,17536.5,0.0,374402.625,2305810.35,82189.8,0.0,-7.0,
100474,,,,,,0.0,,0.0,,0.0,,
100611,,,,,,0.0,,0.0,,0.0,,
100612,-1058.375,0.0,686.0,-637.5,1539.0,0.0,181867.730625,126684.98999999999,0.0,0.0,-14.0,
100686,-1816.625,0.0,4907.0,-1728.2,,0.0,841427.4375,55818.0,0.0,0.0,-13.0,6854.785714285715
100700,-1132.0,0.0,-789.0,-783.0,3285.0,0.0,145963.5,333436.5,4063.5,0.0,-8.0,
100704,-1263.0,0.0,1344.0,-1269.0,,0.0,434011.5,1157962.5,0.0,0.0,-6.0,
100749,-948.2,0.0,31060.0,-719.3333333333334,0.0,0.0,410400.0,826591.5,0.0,0.0,-12.0,
100780,-640.0,0.0,893.0,,,0.0,258750.0,111213.0,0.0,0.0,-9.0,
