SK_ID_CURR,TARGET,ORGANIZATION_TYPE,DAYS_CREDIT,REGION_POPULATION_RELATIVE,Days_Employed_Positive,LTV_Ratio,Age_at_Loan_Application,Credit_Length,Annuity_Over_Credit,Credit_Utilization_Ratio,AMT_CREDIT
100003,0,School,-1400.75,0.003541,1188,1.145199203187251,170.25205479452055,3.8376712328767124,0.027598323157473605,0.0,1293502.5
100041,0,Self-employed,-1292.538462,0.008575,1275,1.0,157.63013698630138,3.5412012657534246,0.09891,0.0,450000.0
100088,0,School,-1408.2,0.0228,4066,1.0,177.65479452054794,3.858082191780822,0.05,0.28408544303797467,135000.0
100120,0,Government,-515.0,0.019689,2953,1.1584,150.75890410958905,1.4109589041095891,0.03608425414364641,0.295023176384484,781920.0
100140,0,Business Entity Type 3,,0.030755,802,1.0,149.58904109589042,,0.05,,675000.0
100179,0,Trade: type 7,-1325.0,0.031329,2311,1.0,155.4849315068493,3.6301369863013697,0.07900666666666667,0.0,675000.0
100190,0,Government,-1215.8,0.022625,4472,1.1056037735849056,162.6,3.330958904109589,0.09398092052494154,-0.0001971927422115714,263686.5
100289,0,Transport: type 4,-1295.75,0.022625,7668,1.1583960396039603,164.8986301369863,3.55,0.05105215473768782,0.0,526491.0
100308,0,Business Entity Type 3,-704.6,0.022625,3397,1.1584,164.13972602739727,1.9304109589041096,0.10499395718232044,0.12115526865655324,208512.0
100310,0,Business Entity Type 3,-450.6666667,0.018029,1228,1.0,164.48219178082192,1.2347031964383561,0.029239495798319328,0.8720883472499172,1071000.0
100344,0,Business Entity Type 3,-1449.0,0.032561,3894,1.0,155.24383561643836,3.96986301369863,0.0651,0.1242593676957511,225000.0
100390,0,Transport: type 4,-652.5,0.00702,1228,1.198,156.64657534246575,1.7876712328767124,0.026613935847772177,0.4518862385321101,555273.0
100407,0,Government,-1091.416667,0.031329,3632,1.1584,156.05205479452056,2.9901826493150683,0.05130352209944752,0.5132198592357626,521280.0
100474,0,Electricity,,0.072508,2652,1.0,187.45753424657534,,0.05,,900000.0
100611,0,Self-employed,,0.018634,3443,1.132,172.09315068493152,,0.06390459363957597,,254700.0
100612,0,Business Entity Type 3,-1058.375,0.006671,3569,1.1452,164.24657534246575,2.8996575342465754,0.02923856095005239,0.11609626912613817,1288350.0
100686,0,Security Ministries,-1816.625,0.031329,2582,1.0,160.3123287671233,4.977054794520548,0.03592,0.016584317765368804,1125000.0
100700,0,Self-employed,-1132.0,0.003069,2053,1.1583960396039603,171.83287671232875,3.1013698630136988,0.05979589394690508,0.7614609131734988,526491.0
100704,0,Other,-1263.0,0.028663,7042,1.0,173.03561643835616,3.4602739726027396,0.029236686390532545,0.6670114155961305,760500.0
100749,0,Self-employed,-948.2,0.019689,261,1.0,170.93972602739726,2.5978082191780825,0.02943046357615894,0.4028223684210526,679500.0
100780,0,Self-employed,-640.0,0.009175,1244,1.0,153.26575342465753,1.7534246575342465,0.04537748344370861,0.21490434782608694,679500.0
100786,0,School,-1513.666667,0.020713,1890,1.158392156862745,169.86849315068494,4.147031964383562,0.04453434442601307,0.4775844427196773,265851.0
100788,0,Mobile,-433.0,0.026392,996,1.0,152.03013698630136,1.1863013698630136,0.10501,0.11077213257088112,450000.0
100805,0,Business Entity Type 3,-616.0,0.028663,1901,1.0,156.67397260273972,1.6876712328767123,0.02637704918032787,0.696128493176121,1098000.0
100811,0,Business Entity Type 3,-684.0,0.022625,296,1.198,179.7178082191781,1.873972602739726,0.026457494517005468,0.0,1649646.0
100855,0,Self-employed,-447.1428571,0.014464,2435,1.118797385620915,170.76164383561644,1.225048923561644,0.051058559611160445,0.0,770292.0
100895,0,Other,,0.031329,8026,1.0,168.3041095890411,,0.05328,,675000.0
100939,0,Medicine,-623.6666667,0.020246,1684,1.198,170.02739726027397,1.708675799178082,0.029429048414023374,0.7491085714285715,673875.0
101060,0,Business Entity Type 3,-1026.0,0.008625,1164,1.1452,162.4794520547945,2.8109589041095893,0.02923797881010595,0.6354625064376002,1546020.0
101083,0,Business Entity Type 3,-1086.166667,0.018209,1235,1.0,153.02191780821917,2.975799087671233,0.04662,0.0,450000.0
101209,0,Other,-1566.666667,0.025164,5516,1.0,175.82739726027398,4.292237443835616,0.05,0.3776532336158303,540000.0
101229,0,Business Entity Type 3,-502.0,0.020246,556,1.0,149.32602739726028,1.3753424657534246,0.032405,0.2547989061562062,900000.0
101278,0,Business Entity Type 3,-964.75,0.02461,3416,1.2573980582524271,177.75616438356164,2.643150684931507,0.0425906479708444,0.1354996843512471,582804.0
101375,0,School,-1617.6,0.010006,4039,1.1584024390243903,166.8739726027397,4.431780821917808,0.036072597879754496,0.24556591474525963,854901.0
101390,0,Kindergarten,,0.002134,199,1.3167978142076502,173.9945205479452,,0.03603708283881248,,1084383.0
101391,0,Police,-636.9,0.019689,270,1.264,157.8958904109589,1.744931506849315,0.02666139240506329,0.4969524534926813,455040.0
101396,0,Restaurant,-2293.0,0.006671,3198,1.0792,178.4794520547945,6.282191780821917,0.05327557449962936,0.0,971280.0
101405,0,Business Entity Type 3,-1685.142857,0.016612,2753,1.198,156.33698630136988,4.61682974520548,0.0778341260591552,0.032920829363955934,285723.0
101458,1,Security Ministries,-98.0,0.003122,1404,1.2112045454545455,148.9945205479452,0.2684931506849315,0.07927870452029347,0.9911988547486034,479637.0
101483,0,Self-employed,-1811.0,0.01885,1831,1.4224,169.96438356164384,4.961643835616439,0.03160151856017998,0.7656999901745157,640080.0
101524,0,Other,-1535.142857,0.018029,4325,1.2376016260162601,171.27945205479452,4.205870841095891,0.042555427820660206,0.3232513544869374,685012.5
101540,0,Security Ministries,-2241.0,0.005313,2134,1.0,154.18904109589042,6.13972602739726,0.05,0.0,247500.0
101546,0,School,,0.028663,815,1.0,163.18356164383562,,0.026496,,1125000.0
101619,0,Bank,-1271.666667,0.072508,6585,1.0,165.3041095890411,3.4840182657534244,0.05,0.33300272781893003,675000.0
101661,0,Other,-687.2,0.01885,813,1.1584,162.92328767123288,1.8827397260273975,0.04404782458563536,0.5905161922379695,625536.0
101702,0,Self-employed,-1420.0,0.020713,2027,1.1452,173.87671232876713,3.8904109589041096,0.029339853300733496,0.5043452903493925,1288350.0
101709,0,Military,-2419.555556,0.035792,2547,1.396,164.42739726027398,6.628919331506848,0.0389207258834766,0.1500983739189595,753840.0
101843,0,Business Entity Type 1,-461.5,0.072508,2338,1.1452,158.82191780821918,1.2643835616438357,0.027499126790080337,0.4574568679301065,1288350.0
101865,0,Business Entity Type 2,-864.6,0.04622,9568,1.0,182.66027397260274,2.3687671232876713,0.0275,0.0,1800000.0
101888,0,Cleaning,-183.0,0.04622,6724,1.2376019417475728,186.6164383561644,0.5013698630136987,0.04259725588948248,0.6855685714285714,573628.5
101939,0,Medicine,-1796.833333,0.010006,7691,1.0,176.14246575342466,4.922831049315069,0.03981666666666667,0.0,810000.0
101945,0,Self-employed,-1474.5,0.018029,135,1.198,173.85205479452054,4.03972602739726,0.032378964941569284,0.0,1078200.0
102071,0,Business Entity Type 3,-1626.333333,0.016612,600,1.1452,164.13972602739727,4.455707761643835,0.02876499010362091,0.0,1236816.0
102209,0,School,-740.0,0.018634,7058,1.0,174.37534246575342,2.0273972602739727,0.05,0.0,270000.0
102219,0,Trade: type 3,-924.7142857,0.0228,454,1.3168,159.7068493150685,2.5334637964383564,0.07275212636695018,0.3700365113791521,59256.0
